@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Gender {Women,Men}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Cost_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Return_Rate {High,Low,Medium}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Bottoms,Balenciaga,Kurta,Men,XXL,Red,All-Season,Cash,Returning,Medium,Medium,Large,High,Medium,Low,Adult,Moderate,Average,High,Medium,'High Sales'
Athleisure,Nike,Leggings,Women,XL,Purple,Summer,Card,Returning,Medium,Medium,Moderate,Low,Medium,Medium,Elder,Moderate,Poor,Medium,Medium,'High Sales'
Tops,'Ralph Lauren',Skirt,Men,XXL,Purple,All-Season,Cash,New,Medium,Medium,Small,Medium,High,High,Teen,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear','Ralph Lauren',Palazzo,Women,M,Red,Winter,Cash,Returning,Medium,Medium,Small,'Very Low',High,High,Adult,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear',Versace,Dress,Men,XL,Purple,All-Season,UPI,Returning,Medium,Medium,Large,Medium,Medium,High,Elder,Moderate,Average,Low,Medium,'High Sales'
'Traditional Wear','Forever 21','Polo Shirt',Women,S,Black,Winter,Card,Returning,Medium,Medium,Large,High,Medium,Low,Teen,Moderate,Excellent,Low,Medium,'High Sales'
Bottoms,Puma,Leggings,Men,XL,Green,Winter,Card,New,Medium,Medium,Moderate,High,Medium,Low,Senior,Moderate,Average,High,Medium,'High Sales'
'Traditional Wear',Gucci,Palazzo,Men,XL,Pink,All-Season,Cash,Returning,Medium,Medium,Small,'Very Low',Medium,Low,Adult,Moderate,Average,Medium,Medium,'High Sales'
Bottoms,'Forever 21',Blazer,Men,XXL,Purple,Winter,UPI,New,Medium,Medium,Small,Medium,Medium,Low,Elder,Moderate,Average,High,Medium,'High Sales'
Athleisure,H&M,Sweatshirt,Women,L,Red,Winter,Cash,New,Medium,Medium,Moderate,High,Medium,Low,Senior,Moderate,Average,High,Medium,'High Sales'
Tops,Balenciaga,'Casual Shirt',Women,XXL,Yellow,Winter,UPI,New,Medium,Medium,Large,'Very Low',High,Medium,Elder,Moderate,Excellent,High,Medium,'High Sales'
Tops,Wrangler,Jumpsuit,Men,S,Yellow,Winter,Card,New,Medium,Medium,Small,'Very Low',Medium,High,Teen,Moderate,Poor,Low,Medium,'High Sales'
Athleisure,Nike,Jacket,Women,XL,Pink,Summer,Cash,Returning,Medium,Medium,Small,High,Medium,Low,Teen,Moderate,Average,High,Medium,'High Sales'
Tops,Gucci,Jeans,Men,XL,Blue,Winter,'Net Banking',Returning,Medium,Medium,Large,Medium,Medium,Low,Teen,Moderate,Excellent,Medium,Medium,'High Sales'
Athleisure,GAP,T-Shirt,Women,XL,White,All-Season,'Net Banking',Returning,Medium,Medium,Moderate,Low,Medium,Low,Elder,Moderate,Average,Low,Medium,'High Sales'
Outerwear,Diesel,Tops,Men,S,White,Winter,'Net Banking',New,High,Medium,Moderate,'Very Low',Medium,Medium,Teen,Moderate,Average,High,Medium,'High Sales'
Athleisure,Versace,'Formal Shirt',Women,L,Red,Summer,Cash,New,Medium,Medium,Large,'Very Low',High,Medium,Senior,Moderate,Excellent,High,Medium,'High Sales'
Tops,'Calvin Klein',Trousers,Women,L,Green,Winter,Card,New,Medium,Medium,Small,High,Low,Medium,Adult,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear','Ralph Lauren',T-Shirt,Men,XL,Red,Summer,'Net Banking',Returning,Medium,High,Small,High,Medium,High,Senior,Moderate,Excellent,Medium,Low,'High Sales'
'Traditional Wear','Calvin Klein',Jeans,Men,L,Blue,All-Season,UPI,Returning,Medium,Medium,Moderate,'Very Low',High,High,Elder,Moderate,Poor,High,Medium,'High Sales'
Outerwear,Puma,T-Shirt,Men,S,White,Summer,'Net Banking',New,Medium,Medium,Large,'Very Low',High,Medium,Teen,Moderate,Excellent,High,Medium,'High Sales'
'Traditional Wear',Adidas,'Polo Shirt',Women,XL,Purple,Winter,Card,Returning,Medium,Medium,Moderate,Low,Medium,Low,Teen,Infrequent,Average,High,Medium,'High Sales'
Outerwear,'Louis Vuitton',Trousers,Women,XXL,Yellow,All-Season,Cash,New,Medium,High,Moderate,'Very Low',High,Medium,Elder,Frequent,Excellent,Low,Medium,'High Sales'
Outerwear,Nike,'Polo Shirt',Men,XXL,Black,Winter,UPI,New,Medium,Medium,Large,Medium,Medium,High,Elder,Infrequent,Poor,Medium,Medium,'High Sales'
Outerwear,'Ralph Lauren','Formal Shirt',Women,M,Green,Winter,Card,Returning,Medium,Medium,Moderate,'Very Low',Low,High,Elder,Moderate,Average,Low,Medium,'High Sales'
Outerwear,Puma,Saree,Men,XL,Black,All-Season,UPI,New,Medium,High,Large,'Very Low',Medium,Low,Senior,Moderate,Average,Medium,Medium,'High Sales'
Tops,Balenciaga,Kurta,Women,XL,Blue,All-Season,UPI,New,Medium,Medium,Large,Low,High,Low,Senior,Infrequent,Average,Medium,Medium,'High Sales'
Outerwear,'Forever 21',Leggings,Men,L,Purple,Winter,Cash,Returning,Medium,Medium,Small,'Very Low',Medium,Low,Senior,Infrequent,Poor,High,High,'High Sales'
Tops,Nike,Shorts,Men,XXL,White,Summer,UPI,New,Medium,Medium,Moderate,Medium,High,Low,Teen,Moderate,Average,Low,Medium,'High Sales'
